Date : 2025-05-05 21:52:36
Directory : ./
Total : 86 files,  16689 codes, 1111 comments, 1510 blanks, all 19310 lines, 6.24% comment rate

Languages
+------------+------------+------------+------------+------------+------------+--------------+
| language   | files      | code       | comment    | blank      | total      | comment rate |
| server/src/routes/courseRoutes.js                 | JavaScript |         10 |          0 |          3 |         13 |        0.00% |
| server/src/routes/index.js                        | JavaScript |        118 |         29 |         29 |        176 |       19.73% |
| server/src/routes/studentCourseRoutes.js          | JavaScript |          9 |          0 |          3 |         12 |        0.00% |
| server/src/routes/studentRoutes.js                | JavaScript |          8 |          0 |          3 |         11 |        0.00% |
| server/src/websocket.js                           | JavaScript |         61 |          9 |         15 |         85 |       12.86% |
| web/dist/assets/CourseSelection-BonhtUz3.css      | CSS        |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/CourseSelection-DZXnpwak.js       | JavaScript |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/GradeManagement-C0IWxjsh.css      | CSS        |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/GradeManagement-DU5ysuCK.js       | JavaScript |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/Grades-DxAi1AlU.js                | JavaScript |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/Home-B82DX7UD.js                  | JavaScript |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/Home-Bgn_c8-p.css                 | CSS        |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/Logs-BJUmpebz.css                 | CSS        |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/Logs-DVsW15Df.js                  | JavaScript |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/MyCourses-BB_RP8Rb.js             | JavaScript |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/MyCourses-BnCIg85E.css            | CSS        |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/Profile-D13Np5ly.css              | CSS        |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/Profile-wyq5wGng.js               | JavaScript |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/StudentManagement-DK2WKNfC.js     | JavaScript |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/StudentManagement-sqX-oOOe.css    | CSS        |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/TeachingCourses-C85ZfBC2.css      | CSS        |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/TeachingCourses-CdwvQmLw.js       | JavaScript |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/index-9778kytf.js                 | JavaScript |          9 |        499 |          0 |        508 |       98.23% |
| web/dist/assets/index-D96yrT6M.css                | CSS        |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/index-DKGKnYD8.css                | CSS        |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/index-DSQMs0Xa.js                 | JavaScript |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/assets/index-a54nnHba.js                 | JavaScript |          1 |          0 |          1 |          2 |        0.00% |
| web/dist/index.html                               | HTML       |         14 |          0 |          0 |         14 |        0.00% |
| web/index.html                                    | HTML       |         13 |          0 |          0 |         13 |        0.00% |
| web/package-lock.json                             | JSON       |      2,779 |          0 |          1 |      2,780 |        0.00% |
| web/package.json                                  | JSON       |         30 |          0 |          1 |         31 |        0.00% |
| web/src/App.vue                                   | Vue        |          7 |          0 |          2 |          9 |        0.00% |
| web/src/assets/styles/main.less                   | Less       |         13 |          1 |          2 |         16 |        7.14% |
| web/src/assets/styles/variables.less              | Less       |          4 |          1 |          0 |          5 |       20.00% |
| web/src/components/ChatRoom.vue                   | Vue        |        180 |          0 |         29 |        209 |        0.00% |
